OBJECTID,Vision_PID,GISID,F10D_ID,Map,Block,Lot,St_Num,Street,Location,Land_Val,Build_Val,Total_Val,Zone,Room_Cnt,Build_SF,Sale_Price,Sale_Date,Year_Built,Land_Area,Build_Styl,Bath_Cnt,Exempt_Val,Bed_Cnt,Tax_Total,LU_CODE,LU_DESC4
17,336,2-72,1002072000,      2,     72,,0,OLD ALFRED RD,OLD ALFRED RD,6900,0,6900,RF,,0,0,37036,0,18731,Vacant Land,,0,,6900,9030,MUNICPAL
18,337,2-73,1002073000,      2,     73,,0,MOUNTAIN RD (OFF OF),MOUNTAIN RD (OFF OF),54100,0,54100,I1,,0,0,40490,0,2327846,Vacant Land,,0,,54100,1320,RES ACLNUD  MDL-00
19,338,2-73-1,1002073001,      2,     73,      1,0,MOUNTAIN RD (OFF OF),MOUNTAIN RD (OFF OF),4500,0,4500,I1,,0,78320,32701,0,155074,Vacant Land,,0,,4500,3900,DEVEL LAND  MDL-00
20,339,2-81,1002081000,      2,     81,,20,POMERLEAU ST,20-26 POMERLEAU ST,385200,1495200,1880400,I3,,38502,640000,36105,1979,677795,Pre-Eng Mfg,,0,,1880400,4000,FACTORY
21,340,2-81-2,1002081002,      2,     81,      2,74,WESTMORE AVE,74 WESTMORE AVE,78800,109000,187800,R1A,5,1382,0,37610,1992,95396,Cape,2,20000,3,167800,1010,SINGLE FAM  MDL-01
22,101203,3-58,1003058077,      3,     58,     77,87,LANDRY ST,87 LANDRY ST #106,0,51100,51100,I2,,1760,0,41369,2000,0,Airport Hangar,,0,,51100,322L,COMM BLDG  MDL-96
23,101202,3-58,1003058078,      3,     58,     78,87,LANDRY ST,87 LANDRY ST #104,0,43900,43900,I2,,1512,49500,40666,2000,0,Airport Hangar,,0,,43900,322L,COMM BLDG  MDL-96
24,101204,3-58,1003058079,      3,     58,     79,87,LANDRY ST,87 LANDRY ST #102,0,48500,48500,I2,,1672,49000,42242,2000,0,Airport Hangar,,0,,48500,322L,COMM BLDG  MDL-96
25,7399,3-58,1003058081,      3,     58,     81,87,LANDRY ST,87 LANDRY ST #105,0,166500,166500,I2,,5568,1,42550,1998,0,Airport Hangar,,0,,166500,322L,COMM BLDG  MDL-96
26,101205,3-58,1003058082,      3,     58,     82,87,LANDRY ST,87 LANDRY ST #103,0,62100,62100,I2,,1800,65000,41926,2000,0,Airport Hangar,,0,,62100,322L,COMM BLDG  MDL-96
27,101482,3-58,1003058083,      3,     58,     83,87,LANDRY ST,87 LANDRY ST #101,0,78900,78900,I2,,2288,0,39703,2000,0,Airport Hangar,,0,,78900,322L,COMM BLDG  MDL-96
28,102042,3-58,1003058084,      3,     58,     84,87,LANDRY ST,87 LANDRY ST #146,0,56200,56200,I2,,1936,0,,2001,0,Airport Hangar,,0,,56200,322L,COMM BLDG  MDL-96
29,102043,3-58,1003058085,      3,     58,     85,87,LANDRY ST,87 LANDRY ST #144,0,56200,56200,I2,,1936,0,,2001,0,Airport Hangar,,0,,56200,322L,COMM BLDG  MDL-96
30,102342,3-58,1003058086,      3,     58,     86,87,LANDRY ST,87 LANDRY ST #142,0,61700,61700,I2,,1936,0,37412,2002,1,Airport Hangar,,0,,61700,322L,COMM BLDG  MDL-96
31,102642,3-58,1003058087,      3,     58,     87,87,LANDRY ST,87 LANDRY ST #136,0,40000,40000,I2,,1344,35000,37868,2003,1,Airport Hangar,,0,,40000,322L,COMM BLDG  MDL-96
32,102643,3-58,1003058088,      3,     58,     88,87,LANDRY ST,87 LANDRY ST #138,0,49800,49800,I2,,1672,54000,41061,2003,1,Airport Hangar,,0,,49800,322L,COMM BLDG  MDL-96
33,102644,3-58,1003058089,      3,     58,     89,87,LANDRY ST,87 LANDRY ST #140,0,47200,47200,I2,,1584,0,,2003,1,Airport Hangar,,0,,47200,322L,COMM BLDG  MDL-96
34,107640,3-58,1003058090,      3,     58,     90,87,LANDRY ST,87 LANDRY ST #130,0,43600,43600,I2,,1428,0,37844,2004,1,Airport Hangar,,0,,43600,322L,COMM BLDG  MDL-96
35,107660,3-58,1003058091,      3,     58,     91,87,LANDRY ST,87 LANDRY ST #132,0,41000,41000,I2,,1344,20000,37761,2004,1,Airport Hangar,,0,,41000,322L,COMM BLDG  MDL-96
36,107661,3-58,1003058092,      3,     58,     92,87,LANDRY ST,87 LANDRY ST #134,0,43600,43600,I2,,1428,0,40327,2004,1,Airport Hangar,,0,,43600,322L,COMM BLDG  MDL-96
37,107662,3-58,1003058093,      3,     58,     93,87,LANDRY ST,87 LANDRY ST #141,0,125100,125100,I2,,3288,0,43223,2004,1,Airport Hangar,,0,,125100,322L,COMM BLDG  MDL-96
38,108662,3-58,1003058094,      3,     58,     94,87,LANDRY ST,87 LANDRY ST #139,0,48300,48300,,,1584,0,38538,2005,0,Airport Hangar,,0,,48300,322L,COMM BLDG  MDL-96
39,108664,3-58,1003058095,      3,     58,     95,87,LANDRY ST,87 LANDRY ST #135,0,50500,50500,I2,,1656,0,38539,2005,0,Airport Hangar,,0,,50500,322L,COMM BLDG  MDL-96
40,108660,3-58,1003058096,      3,     58,     96,87,LANDRY ST,87 LANDRY ST #137,0,51300,51300,I2,,1680,0,41425,2005,0,Airport Hangar,,0,,51300,322L,COMM BLDG  MDL-96
41,108663,3-58,1003058097,      3,     58,     97,87,LANDRY ST,87 LANDRY ST #133,0,87900,87900,,,2880,0,38526,2005,0,Airport Hangar,,0,,87900,322L,COMM BLDG  MDL-96
42,107680,3-58,1003058098,      3,     58,     98,87,LANDRY ST,87 LANDRY ST #131,0,78100,78100,I2,,2560,0,38448,2004,1,Airport Hangar,,0,,78100,322L,COMM BLDG  MDL-96
43,108261,3-58,1003058099,      3,     58,     99,87,LANDRY ST,87 LANDRY ST #100,0,139300,139300,I2,,4728,85000,37873,2005,0,Airport Hangar,,0,,139300,322L,COMM BLDG  MDL-96
44,495,3-63,1003063000,      3,     63,,1,PRISCILLA AVE,1 PRISCILLA AVE,66100,145100,211200,R1A,5,1356,0,33290,1979,28262,Ranch,1.5,20000,3,191200,1010,SINGLE FAM  MDL-01
45,496,3-63-1,1003063001,      3,     63,      1,90,WEST ST,90 WEST ST,72000,178100,250100,R1A,7,1530,0,27548,1975,23087,Split-Level,2,20000,3,230100,1010,SINGLE FAM  MDL-01
46,497,3-63-2,1003063002,      3,     63,      2,88,WEST ST,88 WEST ST,73500,153300,226800,R1A,10,2272,270000,38646,1859,28366,2 Unit,2,0,5,226800,1040,TWO FAMILY  MDL-03
47,715,5-5,1005005000,      5,      5,,0,GRANITE POINT RD (OFF OF),GRANITE POINT RD (OFF OF),18400,0,18400,CR,,0,0,,0,1001880,Vacant Land,,0,,18400,9000,US GOVT  MDL-00
48,716,5-6,1005006000,      5,      6,,40,GRANITE POINT RD,40 GRANITE POINT RD,325900,176300,502200,CR,9,2384,0,31736,1944,73616,Ranch,2,26000,3,476200,1010,SINGLE FAM  MDL-01
49,717,5-6-1,1005006001,      5,      6,      1,1,LITTLE RIVER RD,1 LITTLE RIVER RD,176000,249600,425600,CR,8,2575,0,39882,1983,615503,Cape,2,20000,3,405600,1010,SINGLE FAM  MDL-01
50,718,5-6-2,1005006002,      5,      6,      2,2,LITTLE RIVER RD,2 LITTLE RIVER RD,144500,238200,382700,CR,6,2450,228500,35839,1985,235224,Modern/Contemp,2,20000,3,362700,1010,SINGLE FAM  MDL-01
51,719,5-6-3,1005006003,      5,      6,      3,42,GRANITE POINT RD,42 GRANITE POINT RD,362700,342900,705600,CR,7,3272,785000,39351,1998,74923,Modern/Contemp,3.5,0,3,705600,1010,SINGLE FAM  MDL-01
52,720,5-8,1005008000,      5,      8,,855,POOL ST,855 POOL ST,107700,235600,343300,CR,7,1965,430500,40415,1986,158994,Cape,2,20000,3,323300,1010,SINGLE FAM  MDL-01
53,721,5-8-1,1005008001,      5,      8,      1,1,ICE HOUSE RD,1 ICE HOUSE RD,128000,340300,468300,CR,7,3321,0,43019,1997,140263,Modern/Contemp,2.5,20000,3,448300,1010,SINGLE FAM  MDL-01
54,722,5-8-2,1005008002,      5,      8,      2,863,POOL ST,863 POOL ST,63000,0,63000,CR,,0,36500,35249,0,87120,Vacant Land,,0,,63000,9000,US GOVT  MDL-00
55,723,5-8-3,1005008003,      5,      8,      3,3,ICE HOUSE RD,3 ICE HOUSE RD,135600,199200,334800,CR,7,1672,0,33351,1980,196020,Raised Ranch,1.5,20000,3,314800,1010,SINGLE FAM  MDL-01
56,724,5-8-4,1005008004,      5,      8,      4,871,POOL ST,871 POOL ST,105800,0,105800,CR,,0,135000,32629,0,374616,Vacant Land,,0,,105800,9000,US GOVT  MDL-00
57,725,5-8-5,1005008005,      5,      8,      5,5,ICE HOUSE RD,5 ICE HOUSE RD,149800,183600,333400,CR,7,1900,490000,42227,1982,169884,Modern/Contemp,2.5,0,3,333400,1010,SINGLE FAM  MDL-01
58,726,5-8-6,1005008006,      5,      8,      6,17,SCADLOCK MILL RD,17 SCADLOCK MILL RD,165000,158000,323000,CR,5,2542,0,28346,1978,557568,Modern/Contemp,1.5,20000,3,303000,1010,SINGLE FAM  MDL-01
59,727,5-8-7,1005008007,      5,      8,      7,21,SCADLOCK MILL RD,21 SCADLOCK MILL RD,130500,180700,311200,CR,7,1600,320000,41669,1977,145926,Modern/Contemp,2,0,3,311200,1010,SINGLE FAM  MDL-01
60,728,5-8-8,1005008008,      5,      8,      8,31,SCADLOCK MILL RD,31 SCADLOCK MILL RD,134500,219000,353500,CR,7,2316,0,38309,2001,189050,Modern/Contemp,3,20000,3,333500,1010,SINGLE FAM  MDL-01
61,729,5-8-9,1005008009,      5,      8,      9,1,SCADLOCK MILL RD,1 SCADLOCK MILL RD,87800,0,87800,CR,,0,72500,42936,0,479160,Vacant Land,,0,,87800,1300,RES ACLNDV  MDL-00
62,730,5-8-10,1005008010,      5,      8,     10,19,SCADLOCK MILL RD,19 SCADLOCK MILL RD,82400,0,82400,CR,,0,55000,32630,0,119790,Vacant Land,,0,,82400,9000,US GOVT  MDL-00
63,121129,7-18-17,1007018017,      7,     18,     17,32,MCKENNEY DR,32 MCKENNEY DR,78000,0,78000,R1A,,0,89000,43124,0,243161,Vacant Land,,0,,78000,1300,RES ACLNDV  MDL-00
64,121128,7-18-18,1007018018,      7,     18,     18,30,MCKENNEY DR,30 MCKENNEY DR,75300,292600,367900,R1A,5,1792,375000,42818,2016,243161,Ranch,,6000,3,361900,1010,SINGLE FAM  MDL-01
65,915,7-19,1007019000,      7,     19,,229,SOUTH ST,229 SOUTH ST,74800,270500,345300,R1A,12,3361,268000,42097,1964,391169,Cape,3.5,20000,5,325300,1011,SF (W/ APT)  MDL-01
66,118162,7-19-1,1007019001,      7,     19,      1,231,SOUTH ST,231 SOUTH ST,79600,284700,364300,R1A,8,2558,387000,42629,2004,76230,Modern/Contemp,2.5,20000,3,344300,1010,SINGLE FAM  MDL-01
67,120950,7-19-2,1007019002,      7,     19,      2,0,SOUTH ST,SOUTH ST,74700,0,74700,R1A,,0,387000,42629,0,104544,Vacant Land,,0,,74700,1300,RES ACLNDV  MDL-00
68,120949,7-19-3,1007019003,      7,     19,      3,0,SOUTH ST,SOUTH ST,21500,0,21500,R1A,,0,20000,42727,0,252214,Vacant Land,,0,,21500,1300,RES ACLNDV  MDL-00
69,121134,7-20,1007020000,      7,     20,,0,BERRY LN,BERRY LN,0,0,0,R3,,0,225000,37414,2016,0,Condominium,,0,,0,995,CONDO MAIN
70,121135,7-20,1007020001,      7,     20,      1,3,BERRY LN,3 BERRY LN #101,109300,108500,217800,R3,5,1128,227500,43244,2016,0,Condominium,1.5,20000,2,197800,1020,CONDO  MDL-05
71,1002,9-2-3,1009002003,      9,      2,      3,1,WILLOW RIDGE,1 WILLOW RIDGE,80200,260700,340900,CR,10,2564,0,39988,1979,22475,Raised Ranch,1.5,20000,3,320900,1010,SINGLE FAM  MDL-01
72,101764,9-2-4,1009002004,      9,      2,      4,2,WILLOW RIDGE,2 WILLOW RIDGE,164200,211500,375700,CR,6,1799,382000,41152,2003,200812,Ranch,2,26000,3,349700,1010,SINGLE FAM  MDL-01
73,101822,9-2-5,1009002005,      9,      2,      5,0,OLD POOL RD,OLD POOL RD,125700,0,125700,CR,,0,89000,37174,0,206910,Vacant Land,,0,,125700,1300,RES ACLNDV  MDL-00
74,102802,9-2-7,1009002007,      9,      2,      7,27,OLD POOL RD,27 OLD POOL RD,139900,204000,343900,CR,5,1500,172000,39332,2010,180338,Modern/Contemp,2,0,2,343900,1010,SINGLE FAM  MDL-01
75,119318,9-2-8,1009002008,      9,      2,      8,13,OLD POOL RD,13 OLD POOL RD,110500,0,110500,CR IN,,0,135000,43194,0,838966,Vacant Land,,0,,110500,1300,RES ACLNDV  MDL-00
76,119317,9-2-9,1009002009,      9,      2,      9,17,OLD POOL RD,17 OLD POOL RD,127300,288700,416000,CR IN,5,2452,155000,41064,2012,838966,Modern/Contemp,,20000,2,396000,1010,SINGLE FAM  MDL-01
77,119319,9-2-10,1009002010,      9,      2,     10,19,OLD POOL RD,19 OLD POOL RD,141700,432200,573900,CR IN,7,2130,140000,42292,2016,838966,Conventional,,20000,2,553900,1010,SINGLE FAM  MDL-01
78,1003,9-3,1009003000,      9,      3,,43,OLD POOL RD,43 OLD POOL RD,124200,115400,239600,CR,3,988,200000,40242,1972,65776,Ranch,1,20000,2,219600,1010,SINGLE FAM  MDL-01
79,1004,9-3-1,1009003001,      9,      3,      1,1,SALT MARSH LN,1 SALT MARSH LN,131100,272800,403900,CR,6,2979,230000,34892,1989,246114,Colonial,3.5,20000,4,383900,1010,SINGLE FAM  MDL-01
80,1005,9-3-2,1009003002,      9,      3,      2,3,SALT MARSH LN,3 SALT MARSH LN,130700,149900,280600,CR,7,2110,350000,42538,1982,243500,Cape,2,20000,1,260600,1010,SINGLE FAM  MDL-01
81,1006,9-3-3,1009003003,      9,      3,      3,47,OLD POOL RD,47 OLD POOL RD,118400,114400,232800,CR,5,1226,0,,1980,68389,Modern/Contemp,,20000,2,212800,1010,SINGLE FAM  MDL-01
82,1007,9-3-4,1009003004,      9,      3,      4,51,OLD POOL RD,51 OLD POOL RD,127300,206400,333700,CR,10,2638,295000,38386,1830,88427,Antique,,26000,2,307700,1010,SINGLE FAM  MDL-01
83,7395,9-3-5,1009003005,      9,      3,      5,5,SALT MARSH LN,5 SALT MARSH LN,90900,0,90900,CR,,0,35000,41729,0,87120,Vacant Land,,0,,90900,1300,RES ACLNDV  MDL-00
84,1008,9-4,1009004000,      9,      4,,50,OLD POOL RD,50 OLD POOL RD,127700,205100,332800,CR,10,2759,142000,37028,1964,91476,Split-Level,3,20000,5,312800,1011,SF (W/ APT)  MDL-01
85,1009,9-4-1,1009004001,      9,      4,      1,52,OLD POOL RD,52 OLD POOL RD,116100,150200,266300,CR,6,1232,234000,40844,1978,49658,Ranch,1,20000,3,246300,1010,SINGLE FAM  MDL-01
86,1010,9-5,1009005000,      9,      5,,641,POOL ST,641 POOL ST,153800,240100,393900,CR,7,2211,10000,32332,1988,418612,Ranch,2,20000,3,373900,1010,SINGLE FAM  MDL-01
87,1012,9-7,1009007000,      9,      7,,4,KYLE LN,4 KYLE LN,78900,266400,345300,RF,9,2928,339000,41670,2004,73181,Colonial,3.5,20000,4,325300,1010,SINGLE FAM  MDL-01
88,1013,9-7-1,1009007001,      9,      7,      1,2,KYLE LN,2 KYLE LN,116600,237400,354000,CR,7,2339,0,31097,1986,75794,Modern/Contemp,2,20000,3,334000,1010,SINGLE FAM  MDL-01
89,1014,9-7-2,1009007002,      9,      7,      2,656,POOL ST,656 POOL ST,116200,212700,328900,CR,7,2551,38000,32493,1989,56628,Modern/Contemp,2,0,3,328900,1010,SINGLE FAM  MDL-01
90,1015,9-7-3,1009007003,      9,      7,      3,3,KYLE LN,3 KYLE LN,60600,0,60600,RF CR,,0,28000,33220,0,86684,Vacant Land,,0,,60600,1300,RES ACLNDV  MDL-00
91,1016,9-7-4,1009007004,      9,      7,      4,5,KYLE LN,5 KYLE LN,103800,71200,175000,RF CR,7,1706,80000,32555,1987,436907,SW Mobile Home,2,20000,3,155000,1030,MOBILE HME
92,1017,9-8,1009008000,      9,      8,,58,OLD POOL RD,58 OLD POOL RD,115300,3800,119100,CR,,0,0,34808,0,87120,Colonial,,0,,119100,1300,RES ACLNDV  MDL-00
93,1018,9-8-1,1009008001,      9,      8,      1,70,OLD POOL RD,70 OLD POOL RD,114000,71000,185000,CR,4,648,173750,39016,1964,36774,Raised Ranch,1,0,2,185000,1010,SINGLE FAM  MDL-01
94,1019,9-8-2,1009008002,      9,      8,      2,46,OLD POOL RD,46 OLD POOL RD,110700,133000,243700,CR,4,1126,200000,41380,1978,980100,Ranch,1.5,20000,2,223700,1010,SINGLE FAM  MDL-01
95,1020,9-8-3,1009008003,      9,      8,      3,72,OLD POOL RD,72 OLD POOL RD,116000,233800,349800,CR,7,1932,450000,40796,2010,24829,Modern/Contemp,,0,3,349800,1010,SINGLE FAM  MDL-01
96,1536,19-8,1019008000,     19,      8,,292,GRANITE ST,292 GRANITE ST,67100,0,67100,R1A,,0,86736,43251,0,15681,Vacant Land,,0,,67100,1300,RES ACLNDV  MDL-00
97,1537,19-8-1,1019008001,     19,      8,      1,288,GRANITE ST,288 GRANITE ST,68500,184300,252800,R1A,8,2532,262000,41410,1997,23522,Modern/Contemp,2,20000,3,232800,1010,SINGLE FAM  MDL-01
98,1538,19-8-2,1019008002,     19,      8,      2,5,BEN AVE,5 BEN AVE,59900,115900,175800,R1A,5,1064,0,31946,1987,8712,Ranch,1,20000,3,155800,1010,SINGLE FAM  MDL-01
99,1539,19-8-3,1019008003,     19,      8,      3,290,GRANITE ST,290 GRANITE ST,66500,129400,195900,R1A,4,996,0,31644,1986,15000,Ranch,1,26000,2,169900,1010,SINGLE FAM  MDL-01
100,102562,19-8-4,1019008004,     19,      8,      4,1,CHARLES AVE,1 CHARLES AVE,75200,254900,330100,R1A,7,2112,77000,39052,2007,38768,Cape,,20000,4,310100,1010,SINGLE FAM  MDL-01
101,1540,19-9,1019009000,     19,      9,,7,BEN AVE,7 BEN AVE,59900,87500,147400,R1A,6,1308,0,36193,1938,8712,Cape,2,20000,4,127400,1010,SINGLE FAM  MDL-01
102,1541,19-10,1019010000,     19,     10,,9,BEN AVE,9 BEN AVE,64700,68500,133200,R1A,6,980,124000,39717,1938,13068,Conventional,1,20000,3,113200,1010,SINGLE FAM  MDL-01
103,1542,19-11,1019011000,     19,     11,,4,BEN AVE,4 BEN AVE,54500,126600,181100,R1A,6,1344,109000,36672,1965,17424,Ranch,1,0,3,181100,910R,CHARI/BENO  MDL-01
104,1543,19-12,1019012000,     19,     12,,284,GRANITE ST,284 GRANITE ST,62000,102000,164000,R1A,5,801,199000,42549,1949,10019,Ranch,1,20000,2,144000,1010,SINGLE FAM  MDL-01
105,1544,19-13,1019013000,     19,     13,,282,GRANITE ST,282 GRANITE ST,62000,121100,183100,R1A,7,1402,0,26241,1962,10019,Cape,1,0,4,183100,1010,SINGLE FAM  MDL-01
106,1545,19-14,1019014000,     19,     14,,3,LIZOTTE AVE,3 LIZOTTE AVE,68700,143600,212300,R1A,6,1414,132000,37246,1965,17424,Ranch,1,20000,3,192300,1010,SINGLE FAM  MDL-01
107,1546,19-15,1019015000,     19,     15,,280,GRANITE ST,280 GRANITE ST,71800,117700,189500,R1A,6,1196,0,42663,1960,22216,Ranch,2,20000,3,169500,1010,SINGLE FAM  MDL-01
108,1547,19-16,1019016000,     19,     16,,276,GRANITE ST,276 GRANITE ST,76100,208700,284800,R1A,14,3143,130000,35214,1890,45738,3 Unit,4,20000,5,264800,1050,THREE FAM  MDL-03
109,1548,19-16-1,1019016001,     19,     16,      1,272,GRANITE ST,272 GRANITE ST,68200,179400,247600,R1A,6,1494,0,,1996,22066,Ranch,2.5,20000,3,227600,1010,SINGLE FAM  MDL-01
110,7307,19-16-2,1019016002,     19,     16,      2,6,LIZOTTE AVE,6 LIZOTTE AVE,62900,10800,73700,R1A,,0,20000,35214,0,11040,,,0,,73700,1300,RES ACLNDV  MDL-00
111,1549,19-17,1019017000,     19,     17,,270,GRANITE ST,270 GRANITE ST,63000,64600,127600,R1A,5,1186,0,37965,1917,31363,Conventional,1,20000,2,107600,1010,SINGLE FAM  MDL-01
112,1550,19-18,1019018000,     19,     18,,268,GRANITE ST,268 GRANITE ST,72900,115400,188300,R1A,5,1080,0,40254,1953,26136,Ranch,1,26000,3,162300,1010,SINGLE FAM  MDL-01
113,1551,19-19,1019019000,     19,     19,,266,GRANITE ST,266 GRANITE ST,71500,97100,168600,R1A,7,1498,53900,43111,1920,37026,Conventional,1,26000,4,142600,1010,SINGLE FAM  MDL-01
114,1552,19-20,1019020000,     19,     20,,262,GRANITE ST,262 GRANITE ST,69200,116200,185400,R1A,6,1147,200000,42307,1952,18125,Cape,1,0,3,185400,1010,SINGLE FAM  MDL-01
115,1553,19-21,1019021000,     19,     21,,260,GRANITE ST,260 GRANITE ST,73300,189200,262500,R1A,8,1736,0,28251,1968,59677,Raised Ranch,2,20000,3,242500,1010,SINGLE FAM  MDL-01
116,1554,19-21-1,1019021001,     19,     21,      1,10,BRETON ST,10 BRETON ST,74200,232100,306300,R1A,8,2053,0,37671,2003,30928,Colonial,2.5,20000,5,286300,1010,SINGLE FAM  MDL-01
117,1555,19-21-2,1019021002,     19,     21,      2,12,BRETON ST,12 BRETON ST,74300,156200,230500,R1A,6,1232,0,40725,1982,31363,Ranch,2,20000,2,210500,1010,SINGLE FAM  MDL-01
118,1556,19-21-3,1019021003,     19,     21,      3,14,BRETON ST,14 BRETON ST,59600,167600,227200,R1A,6,1432,130000,36433,1983,34848,Ranch,2,20000,2,207200,1010,SINGLE FAM  MDL-01
119,1557,19-21-5,1019021005,     19,     21,      5,18,BRETON ST,18 BRETON ST,72300,211000,283300,R1A,6,1856,0,31064,1984,50965,Ranch,2,20000,3,263300,1010,SINGLE FAM  MDL-01
120,1558,19-21-6,1019021006,     19,     21,      6,20,BRETON ST,20 BRETON ST,60600,152300,212900,R1A,6,1768,0,34204,1994,20909,Colonial,1.5,20000,3,192900,1010,SINGLE FAM  MDL-01
121,1559,19-22,1019022000,     19,     22,,242,GRANITE ST,242 GRANITE ST,76200,167300,243500,R1A,7,1944,0,28271,1900,48352,Conventional,1,26000,4,217500,1010,SINGLE FAM  MDL-01
122,1560,19-22-1,1019022001,     19,     22,      1,258,GRANITE ST,258 GRANITE ST,68500,125700,194200,R1A,7,1144,89900,35671,1977,23958,Ranch,1,20000,3,174200,1010,SINGLE FAM  MDL-01
123,1561,19-22-2,1019022002,     19,     22,      2,256,GRANITE ST,256 GRANITE ST,72100,110300,182400,R1A,5,1008,0,28517,1976,23958,Ranch,1,26000,3,156400,1010,SINGLE FAM  MDL-01
124,1562,19-22-3,1019022003,     19,     22,      3,254,GRANITE ST,254 GRANITE ST,62000,127000,189000,R1A,6,1008,0,43230,1978,10019,Ranch,1,20000,3,169000,1010,SINGLE FAM  MDL-01
125,1563,19-23,1019023000,     19,     23,,240,GRANITE ST,240 GRANITE ST,75800,92800,168600,R1A,7,1419,0,34423,1949,43560,Cape,1,20000,3,148600,1010,SINGLE FAM  MDL-01
126,1564,19-24,1019024000,     19,     24,,9,MERRILL ST,9 MERRILL ST,67800,161800,229600,R1A,6,1093,245400,42384,2012,57064,Raised Ranch,,20000,3,209600,1010,SINGLE FAM  MDL-01
127,1565,19-25,1019025000,     19,     25,,6,MERRILL ST,6 MERRILL ST,62000,179100,241100,R1A,7,1908,245000,38819,2001,17500,Colonial,2,20000,3,221100,1010,SINGLE FAM  MDL-01
128,1566,19-25-1,1019025001,     19,     25,      1,10,MERRILL ST,10 MERRILL ST,58300,210200,268500,R1A,6,2067,260000,41215,2012,17348,Colonial,2.5,20000,3,248500,1010,SINGLE FAM  MDL-01
129,1567,19-26,1019026000,     19,     26,,2,BRETON ST,2 BRETON ST,72100,266900,339000,R1A,7,3274,176000,35545,1991,23958,Cape,2,20000,3,319000,1010,SINGLE FAM  MDL-01
