"Map","Lot","SubLot","Polytype","LinkID","TM_update_","Hist_Dist","Pine_Tr_Zn","OL_CAC","Lot_Sub","Ward_2013","Export_Vis","FD","X10D_ID","OBJECTID_1","Vision_PID","GISID","F10D_ID","Map_1","Block","Lot_1","St_Num","Street","Location","CurOwn_Dat","CurOwn_QU","CurOwn_VI","CurOwn_Sal","PROwn1_Dat","PROwn1_QU","PROwn1_VI","PROwn1_Sal","PROwn2_Sal","PROwn3_Sal","PROwn4_Sal","PROwn5_Sal","Land_Val","Build_Val","Total_Val","Zone","Room_Cnt","Build_SF","Sale_Price","Sale_Date","Year_Built","Land_Area","Build_Styl","Bath_Cnt","Exempt_Val","Bed_Cnt","Tax_Total","LU_CODE","LU_DESC4"
10,15,0,parcel,10-15,0,0,0,0,15,1,1,3,1010015000,1605,1113,10-15,1010015000,     10,     15,,79,OLD POOL RD,79 OLD POOL RD,12/30/02,Q,V,1250000,03/31/00,Q,V,522500,0,0,0,0,205400,0,205400,CR,,0,1250000,12/30/02,0,1406988,Vacant Land,,0,,205400,9000,US GOVT  MDL-00
10,2,0,parcel,10-2,0,0,0,1,2,1,1,Bask,1010002000,1582,1092,10-2,1010002000,     10,      2,,2,BASKET ISLAND,2 BASKET ISLAND,06/24/14,U,I,330000,02/04/13,U,I,0,295000,0,0,0,315400,115400,430800,CR RP,5,1432,330000,06/24/14,1910,21780,Camp,1,0,3,430800,1012,OCN FT  MDL-01
10,20,0,parcel,10-20,0,0,0,1,20,1,1,4,1010020000,1606,1114,10-20,1010020000,     10,     20,,651,POOL ST,651 POOL ST,05/12/87,,,0,,,,0,0,0,0,0,134300,179500,313800,CR,7,1577,0,05/12/87,1985,187308,Cape,2,20000,3,293800,1010,SINGLE FAM  MDL-01
10,20,1,parcel,10-20-1,0,0,0,1,20-1,1,1,4,1010020001,1607,1115,10-20-1,1010020001,     10,     20,      1,665,POOL ST,665 POOL ST,11/07/05,Q,V,125000,,,,0,0,0,0,0,98600,0,98600,CR,,0,125000,11/07/05,0,126324,Vacant Land,,0,,98600,1300,RES ACLNDV  MDL-00
10,20,2,parcel,10-20-2,0,0,0,1,20-2,1,1,4,1010020002,1608,1116,10-20-2,1010020002,     10,     20,      2,655,POOL ST,655 POOL ST,11/03/88,U,V,33000,,,,0,0,0,0,0,95100,175100,270200,CR,6,1910,33000,11/03/88,1990,133294,Cape,2.5,20000,3,250200,1010,SINGLE FAM  MDL-01
10,21,0,parcel,10-21,0,0,0,1,21,1,1,4,1010021000,1609,1117,10-21,1010021000,     10,     21,,645,POOL ST,645 POOL ST,01/06/97,Q,V,50000,11/26/96,U,V,0,0,0,0,0,127900,0,127900,CR,,0,50000,01/06/97,0,396396,Vacant Land,,0,,127900,1300,RES ACLNDV  MDL-00
10,2,1,parcel,10-2-1,0,0,0,1,2-1,1,1,Bask,1010002001,1583,1093,10-2-1,1010002001,     10,      2,      1,2,BASKET ISLAND,2A BASKET ISLAND,07/14/72,,,0,,,,0,0,0,0,0,8600,0,8600,CR RP,,0,0,07/14/72,0,4356,Vacant Land,,0,,8600,1320,RES ACLNUD  MDL-00
10,21,1,parcel,10-21-1,0,0,0,1,21-1,1,1,4,1010021001,1610,1118,10-21-1,1010021001,     10,     21,      1,649,POOL ST,649 POOL ST,03/28/97,Q,I,122500,11/26/96,U,I,0,0,0,0,0,120900,111600,232500,CR,5,1536,122500,03/28/97,1974,269636,Colonial,2,0,3,232500,1010,SINGLE FAM  MDL-01
10,21,2,parcel,10-21-2,0,0,0,1,21-2,1,1,3,1010021002,1611,102082,10-21-2,1010021002,     10,     21,      2,649,POOL ST (REAR OF),649 POOL ST (REAR OF),07/22/14,U,V,550000,07/12/01,Q,V,24000,0,0,0,0,55100,0,55100,CR,,0,550000,07/22/14,0,116305,Vacant Land,,0,,55100,1300,RES ACLNDV  MDL-00
10,23,1,parcel,10-23-1,0,0,0,1,23-1,1,1,3,1010023001,1613,101703,10-23-1,1010023001,     10,     23,      1,0,AYER LN,AYER LN,02/04/08,U,I,261000,06/07/01,Q,V,55000,33000,0,0,0,109400,283400,392800,CR,6,2078,261000,02/04/08,2007,46609,Bungalow,3.5,0,2,392800,1010,SINGLE FAM  MDL-01
10,23,2,parcel,10-23-2,0,0,0,1,23-2,1,1,3,1010023002,1614,101704,10-23-2,1010023002,     10,     23,      2,3,AYER LN,3 AYER LN,07/07/15,U,I,0,03/28/11,U,I,0,450000,55000,33000,0,108100,298500,406600,CR,8,2310,0,07/07/15,2004,37532,Modern/Contemp,3.5,0,3,406600,1010,SINGLE FAM  MDL-01
10,23,3,parcel,10-23-3,0,0,0,1,23-3,1,1,3,1010023003,1615,101705,10-23-3,1010023003,     10,     23,      3,1,ORIN LN,1 ORIN LN,04/29/02,Q,I,445000,07/26/01,U,V,0,58000,33000,0,0,113800,397400,511200,CR,8,3296,445000,04/29/02,2001,35336,Modern/Contemp,3.5,20000,4,491200,1010,SINGLE FAM  MDL-01
10,23,4,parcel,10-23-4,0,0,0,1,23-4,1,1,3,1010023004,1616,101706,10-23-4,1010023004,     10,     23,      4,5,ORIN LN,5 ORIN LN,04/19/01,Q,V,38000,04/01/00,U,V,33000,0,0,0,0,110000,125900,235900,CR,5,1344,38000,04/19/01,2011,190793,Modular,,20000,3,215900,1010,SINGLE FAM  MDL-01
10,23,5,parcel,10-23-5,0,0,0,1,23-5,1,1,3,1010023005,1617,101707,10-23-5,1010023005,     10,     23,      5,2,ORIN LN,2 ORIN LN,11/29/01,Q,V,39100,03/26/01,U,V,26000,33000,0,0,0,86300,220100,306400,CR,4,1792,39100,11/29/01,2004,74923,Ranch,1.5,20000,2,286400,1010,SINGLE FAM  MDL-01
10,23,6,parcel,10-23-6,0,0,0,1,23-6,1,1,3,1010023006,1618,101708,10-23-6,1010023006,     10,     23,      6,6,ORIN LN,6 ORIN LN,12/05/00,Q,V,45000,04/01/00,U,V,33000,0,0,0,0,115700,252100,367800,CR,9,2041,45000,12/05/00,2002,183823,Colonial,3.5,20000,3,347800,1010,SINGLE FAM  MDL-01
10,25,0,parcel,10-25,0,0,0,1,25,1,1,4,1010025000,1619,1120,10-25,1010025000,     10,     25,,670,POOL ST,670 POOL ST,08/05/02,Q,I,290000,11/17/95,U,V,25000,29000,0,0,0,111200,237800,349000,RF CR,8,2496,290000,08/05/02,1997,87120,Colonial,2,20000,4,329000,1010,SINGLE FAM  MDL-01
10,26,0,parcel,10-26,0,0,0,1,26,1,1,NegI,1010026000,1620,1121,10-26,1010026000,     10,     26,,1,NEGRO ISLAND,1 NEGRO ISLAND,08/24/93,U,V,1,08/24/93,U,I,1,0,0,0,0,12400,0,12400,CR RP,,0,1,08/24/93,0,52272,Vacant Land,,0,,12400,1320,RES ACLNUD  MDL-00
10,27,0,parcel,10-27,0,0,0,1,27,1,1,Wood,1010027000,1621,1122,10-27,1010027000,     10,     27,,1,WOOD ISLAND,1 WOOD ISLAND,03/27/70,,,0,,,,0,0,0,0,0,24000,0,24000,CR RP,,0,0,03/27/70,0,1306800,Vacant Land,,0,,24000,9010,STATE OWND  MDL-00
10,27,1,parcel,10-27-1,0,0,0,1,27-1,1,1,Wood,1010027001,1622,1123,10-27-1,1010027001,     10,     27,      1,2,WOOD ISLAND,2 WOOD ISLAND,10/10/88,U,V,0,,,,0,0,0,0,0,100,0,100,CR RP,,0,0,10/10/88,0,5227,Vacant Land,,0,,100,1320,RES ACLNUD  MDL-00
10,27,2,parcel,10-27-2,0,0,0,1,27-2,1,1,Wood,1010027002,1623,1124,10-27-2,1010027002,     10,     27,      2,1,WOOD ISLAND LIGHTHOUSE,1 WOOD ISLAND LIGHTHOUSE,,,,0,,,,0,0,0,0,0,346700,175800,522500,CR RP,6,1428,0,,1807,217800,Antique,1,0,3,522500,900R,US GOVT  MDL-01
10,28,0,parcel,10-28,0,0,0,1,28,1,1,Goos,1010028000,1624,1125,10-28,1010028000,     10,     28,,1,GOOSEBERRY ISLAND,1 GOOSEBERRY ISLAND,,,,0,,,,0,0,0,0,0,800,0,800,CR RP,,0,0,,0,43560,Vacant Land,,0,,800,9035,TOWN-PROP  MDL-00
10,29,0,parcel,10-29,0,0,0,1,29,1,1,3,1010029000,1625,1126,10-29,1010029000,     10,     29,,73,OLD POOL RD,73 OLD POOL RD,09/29/95,U,I,114900,09/29/95,U,I,0,0,0,0,0,121000,211200,332200,CR,4,1963,114900,09/29/95,1930,43512,Conventional,3,20000,2,312200,1010,SINGLE FAM  MDL-01
10,29,1,parcel,10-29-1,0,0,0,1,29-1,1,1,3,1010029001,1626,7262,10-29-1,1010029001,     10,     29,      1,6,DAYS LANDING,6 DAYS LANDING,03/10/99,U,I,0,12/07/98,Q,V,48500,0,0,0,0,130500,266600,397100,CR,7,2338,0,03/10/99,1998,30492,Colonial,2.5,0,5,397100,1010,SINGLE FAM  MDL-01
10,3,0,parcel,10-3,0,0,0,1,3,1,1,Bask,1010003000,1584,1094,10-3,1010003000,     10,      3,,3,BASKET ISLAND,3 BASKET ISLAND,03/12/98,U,I,0,06/09/93,U,V,1,0,0,0,0,263700,44800,308500,CR RP,6,1170,0,03/12/98,1924,8712,Camp,1,0,3,308500,1012,OCN FT  MDL-01
10,30,0,parcel,10-30,0,0,0,1,30,1,1,3,1010030000,1627,1127,10-30,1010030000,     10,     30,,8,DAYS LANDING,8 DAYS LANDING,04/13/01,Q,I,445000,08/14/00,U,V,74000,1,0,0,0,125000,272900,397900,CR,8,2793,445000,04/13/01,2001,20231,Colonial,3.5,20000,4,377900,1010,SINGLE FAM  MDL-01
10,31,0,parcel,10-31,0,0,0,1,31,1,1,3,1010031000,1628,1128,10-31,1010031000,     10,     31,,1,DORY LN,1 DORY LN,09/15/16,Q,I,430000,01/14/11,U,I,0,75000,63500,0,0,126000,324000,450000,CR,9,2892,430000,09/15/16,2004,22100,Colonial,,0,3,450000,1010,SINGLE FAM  MDL-01
10,32,0,parcel,10-32,0,0,0,1,32,1,1,3,1010032000,1629,1129,10-32,1010032000,     10,     32,,3,DORY LN,3 DORY LN,10/22/12,U,V,0,08/31/00,Q,V,75000,58000,0,0,0,106900,0,106900,CR,,0,0,10/22/12,0,21586,Vacant Land,,0,,106900,1300,RES ACLNDV  MDL-00
10,33,0,parcel,10-33,0,0,0,1,33,1,1,3,1010033000,1630,1130,10-33,1010033000,     10,     33,,4,DORY LN,4 DORY LN,09/03/01,U,V,0,05/12/98,U,V,26250,0,1,0,0,63000,0,63000,CR,,0,0,09/03/01,0,22343,Vacant Land,,0,,63000,1300,RES ACLNDV  MDL-00
10,34,0,parcel,10-34,0,0,0,1,34,1,1,3,1010034000,1631,1131,10-34,1010034000,     10,     34,,2,DORY LN,2 DORY LN,02/02/98,Q,V,50000,,,,0,0,0,0,0,127100,523700,650800,CR,8,2760,50000,02/02/98,2001,23846,Colonial,3,20000,4,630800,1010,SINGLE FAM  MDL-01
10,35,0,parcel,10-35,0,0,0,1,35,1,1,3,1010035000,1632,1132,10-35,1010035000,     10,     35,,10,DAYS LANDING,10 DAYS LANDING,03/18/99,Q,V,63000,,,,0,0,0,0,0,125000,370900,495900,CR,7,3002,63000,03/18/99,1999,20005,Colonial,2.5,20000,3,475900,1010,SINGLE FAM  MDL-01
10,36,0,parcel,10-36,0,0,0,1,36,1,1,3,1010036000,1633,1133,10-36,1010036000,     10,     36,,12,DAYS LANDING,12 DAYS LANDING,12/02/05,U,I,0,06/07/02,Q,I,590000,35000,0,1,0,125000,466100,591100,CR,8,3064,0,12/02/05,1998,20002,Cape,2.5,20000,3,571100,1010,SINGLE FAM  MDL-01
10,37,0,parcel,10-37,0,0,0,1,37,1,1,3,1010037000,1634,1134,10-37,1010037000,     10,     37,,15,DAYS LANDING,15 DAYS LANDING,09/03/01,U,V,0,05/12/98,U,V,97000,65000,20000,1,0,64000,0,64000,CR,,0,0,09/03/01,0,25294,Vacant Land,,0,,64000,1300,RES ACLNDV  MDL-00
10,38,0,parcel,10-38,0,0,0,1,38,1,1,3,1010038000,1635,1135,10-38,1010038000,     10,     38,,17,DAYS LANDING,17 DAYS LANDING,09/03/01,U,I,0,05/12/98,U,V,36500,0,0,0,117000,128800,405100,533900,CR,6,3365,0,09/03/01,2000,26886,Modern/Contemp,3.5,0,2,533900,1010,SINGLE FAM  MDL-01
10,39,0,parcel,10-39,0,0,0,1,39,1,1,3,1010039000,1636,1136,10-39,1010039000,     10,     39,,22,DAYS LANDING,22 DAYS LANDING,01/08/93,U,V,0,,,,0,0,0,0,0,84500,0,84500,CR,,0,0,01/08/93,0,90605,Vacant Land,,0,,84500,9000,US GOVT  MDL-00
10,4,0,parcel,10-4,0,0,0,1,4,1,1,Bask,1010004000,1585,1095,10-4,1010004000,     10,      4,,4,BASKET ISLAND,4 BASKET ISLAND,02/25/02,U,I,0,05/20/99,U,I,0,0,0,0,0,263700,34200,297900,CR RP,6,1129,0,02/25/02,1909,8712,Camp,0.5,0,4,297900,1012,OCN FT  MDL-01
10,40,0,parcel,10-40,0,0,0,1,40,1,1,3,1010040000,1637,1137,10-40,1010040000,     10,     40,,18,DAYS LANDING,18 DAYS LANDING,01/08/93,U,V,0,10/24/89,U,V,1,0,0,0,0,82900,0,82900,CR,,0,0,01/08/93,0,73181,Vacant Land,,0,,82900,9000,US GOVT  MDL-00
10,41,0,parcel,10-41,0,0,0,1,41,1,1,3,1010041000,1638,1138,10-41,1010041000,     10,     41,,14,DAYS LANDING,14 DAYS LANDING,01/08/93,U,V,0,,,,0,0,0,0,0,85700,0,85700,CR,,0,0,01/08/93,0,103237,Vacant Land,,0,,85700,9000,US GOVT  MDL-00
10,42,0,parcel,10-42,0,0,0,1,42,1,1,3,1010042000,1639,1139,10-42,1010042000,     10,     42,,61,OLD POOL RD,61 OLD POOL RD,07/16/98,U,V,22500,10/04/91,Q,V,60000,0,0,0,0,88200,0,88200,CR,,0,22500,07/16/98,0,130680,Vacant Land,,0,,88200,9000,US GOVT  MDL-00
10,43,0,parcel,10-43,0,0,0,1,43,1,1,3,1010043000,1640,1140,10-43,1010043000,     10,     43,,59,OLD POOL RD,59 OLD POOL RD,02/03/92,U,I,1,,,,0,0,0,0,0,80400,0,80400,CR,,0,1,02/03/92,0,45302,Vacant Land,,0,,80400,9000,US GOVT  MDL-00
10,43,1,parcel,10-43-1,0,0,0,1,43-1,1,1,3,1010043001,1641,1141,10-43-1,1010043001,     10,     43,      1,0,OLD POOL RD (OFF OF),OLD POOL RD (OFF OF),02/03/92,,,0,01/22/88,,,0,0,0,0,0,134900,0,134900,CR,,0,0,02/03/92,0,348480,Vacant Land,,0,,134900,9000,US GOVT  MDL-00
10,44,0,parcel,10-44,0,0,0,1,44,1,1,3,1010044000,1642,1142,10-44,1010044000,     10,     44,,57,OLD POOL RD,57 OLD POOL RD,03/25/98,U,I,0,09/30/91,Q,V,60000,0,0,0,0,124000,254600,378600,CR,6,2514,0,03/25/98,1993,108900,Cape,2,20000,3,358600,1010,SINGLE FAM  MDL-01
10,45,0,parcel,10-45,0,0,0,1,45,1,1,4,1010045000,1643,1143,10-45,1010045000,     10,     45,,674,POOL ST,674 POOL ST,09/19/05,U,V,0,11/17/95,U,V,25000,29000,1,0,0,134200,249400,383600,RF CR,6,2496,0,09/19/05,2006,148104,Cape,3,20000,3,363600,1010,SINGLE FAM  MDL-01
10,46,0,parcel,10-46,0,0,0,1,46,1,1,4,1010046000,1644,1144,10-46,1010046000,     10,     46,,678,POOL ST,678 POOL ST,11/17/98,U,I,0,10/13/92,U,V,23500,1,0,0,0,117700,239000,356700,RF CR,7,2860,0,11/17/98,1993,89298,Colonial,3,20000,3,336700,1010,SINGLE FAM  MDL-01
10,47,0,parcel,10-47,0,0,0,1,47,1,1,4,1010047000,1645,1145,10-47,1010047000,     10,     47,,680,POOL ST,680 POOL ST,10/04/04,Q,V,135000,01/07/93,U,V,22500,1,0,0,0,119600,353000,472600,RF CR,7,2100,135000,10/04/04,2006,93654,Cape,2.5,20000,3,452600,1010,SINGLE FAM  MDL-01
10,48,0,parcel,10-48,0,0,0,1,48,1,1,4,1010048000,1646,1146,10-48,1010048000,     10,     48,,682,POOL ST,682 POOL ST,05/01/97,U,I,0,01/27/93,U,V,19000,1,0,0,0,124900,129900,254800,RF/CR,6,1842,0,05/01/97,1995,97574,Modern/Contemp,1,20000,2,234800,1010,SINGLE FAM  MDL-01
10,5,0,parcel,10-5,0,0,0,1,5,1,1,Bask,1010005000,1586,1096,10-5,1010005000,     10,      5,,5,BASKET ISLAND,5 BASKET ISLAND,08/15/17,U,I,0,04/07/14,U,I,0,0,0,0,0,263700,33400,297100,CR RP,5,742,0,08/15/17,1880,8712,Camp,0.5,0,3,297100,1012,OCN FT  MDL-01
10,6,0,parcel,10-6,0,0,0,1,6,1,1,Bask,1010006000,1587,1097,10-6,1010006000,     10,      6,,6,BASKET ISLAND,6 BASKET ISLAND,10/11/02,U,I,305000,,,,0,0,0,0,0,312200,76100,388300,CR RP,7,1318,305000,10/11/02,1910,20038,Camp,1,0,4,388300,1012,OCN FT  MDL-01
10,6,1,parcel,10-6-1,0,0,0,1,6-1,1,1,Bask,1010006001,1588,1098,10-6-1,1010006001,     10,      6,      1,6,BASKET ISLAND,6A BASKET ISLAND,05/11/98,U,V,0,06/09/93,U,V,1,0,0,0,0,7800,0,7800,CR RP,,0,0,05/11/98,0,1742,Vacant Land,,0,,7800,1320,RES ACLNUD  MDL-00
10,7,0,parcel,10-7,0,0,0,1,7,1,1,Bask,1010007000,1589,1099,10-7,1010007000,     10,      7,,7,BASKET ISLAND,7 BASKET ISLAND,06/01/08,U,I,0,02/25/02,U,I,0,0,0,0,0,237500,41100,278600,CR RP,5,1255,0,06/01/08,1880,4356,Cottage,1,0,3,278600,1012,OCN FT  MDL-01
10,8,0,parcel,10-8,0,0,0,1,8,1,1,Bask,1010008000,1590,1105,10-8,1010008000,     10,      8,,0,BASKET ISLAND,0 BASKET ISLAND,08/15/17,U,V,0,04/07/14,U,V,0,0,0,0,0,7900,0,7900,CR RP,,0,0,08/15/17,0,1867,Vacant Land,,0,,7900,1320,RES ACLNUD  MDL-00
10,8,0,parcel,10-8,0,0,0,1,8,1,1,Bask,1010008000,1591,1107,10-8,1010008000,     10,      8,,0,BASKET ISLAND,0 BASKET ISLAND,07/13/09,U,V,0,07/07/93,U,V,1,0,0,0,0,7900,0,7900,CR RP,,0,0,07/13/09,0,1867,Vacant Land,,0,,7900,1320,RES ACLNUD  MDL-00
10,8,0,parcel,10-8,0,0,0,1,8,1,1,Bask,1010008000,1592,1104,10-8,1010008000,     10,      8,,0,BASKET ISLAND,0 BASKET ISLAND,06/18/14,U,V,330000,02/04/13,U,V,0,295000,0,0,0,7900,0,7900,CR RP,,0,330000,06/18/14,0,1867,Vacant Land,,0,,7900,1320,RES ACLNUD  MDL-00
10,8,0,parcel,10-8,0,0,0,1,8,1,1,Bask,1010008000,1593,1106,10-8,1010008000,     10,      8,,0,BASKET ISLAND,0 BASKET ISLAND,05/11/98,U,V,0,06/09/93,U,V,1,0,0,0,0,7900,0,7900,CR RP,,0,0,05/11/98,0,1867,Vacant Land,,0,,7900,1320,RES ACLNUD  MDL-00
10,8,0,parcel,10-8,0,0,0,1,8,1,1,Bask,1010008000,1594,1102,10-8,1010008000,     10,      8,,0,BASKET ISLAND,0 BASKET ISLAND,06/01/08,U,V,0,02/25/02,U,V,0,0,0,0,0,7900,0,7900,CR RP,,0,0,06/01/08,0,1867,Vacant Land,,0,,7900,1320,RES ACLNUD  MDL-00
10,8,0,parcel,10-8,0,0,0,1,8,1,1,Bask,1010008000,1595,1101,10-8,1010008000,     10,      8,,0,BASKET ISLAND,0 BASKET ISLAND,08/21/07,U,I,0,,,,0,0,0,0,0,7900,0,7900,CR RP,,0,0,08/21/07,0,1867,Vacant Land,,0,,7900,1320,RES ACLNUD  MDL-00
10,8,0,parcel,10-8,0,0,0,1,8,1,1,Bask,1010008000,1596,1103,10-8,1010008000,     10,      8,,0,BASKET ISLAND,0 BASKET ISLAND,10/11/02,U,V,305000,,,,0,0,0,0,0,7900,0,7900,CR RP,,0,305000,10/11/02,0,1867,Vacant Land,,0,,7900,1320,RES ACLNUD  MDL-00
10,9,0,parcel,10-9,0,0,0,1,9,1,1,Bask,1010009000,1597,1100,10-9,1010009000,     10,      9,,8,BASKET ISLAND,8 BASKET ISLAND,12/23/08,U,V,34000,05/11/06,Q,V,60000,1,0,0,0,8600,0,8600,CR RP,,0,34000,12/23/08,0,4356,Vacant Land,,0,,8600,1320,RES ACLNUD  MDL-00
1,1,0,parcel,1-1,0,0,0,0,1,6,1,5,1001001000,203,8,1-1,1001001000,      1,      1,,61,BUZZELL RD,61 BUZZELL RD,09/08/98,U,V,0,12/13/77,,,0,0,0,0,0,51800,0,51800,RF,,0,0,09/08/98,0,784080,Vacant Land,,0,,51800,1300,RES ACLNDV  MDL-00
1,10,0,parcel,1-10,0,0,0,0,10,6,1,5,1001010000,218,20,1-10,1001010000,      1,     10,,35,RIVER RD,35 RIVER RD,04/21/06,U,V,12500,04/21/06,U,V,12500,3000,0,3000,0,28300,0,28300,RF,,0,12500,04/21/06,0,10019,Vacant Land,,0,,28300,1300,RES ACLNDV  MDL-00
1,11,0,parcel,1-11,0,0,0,0,11,6,1,5,1001011000,219,21,1-11,1001011000,      1,     11,,33,RIVER RD,33 RIVER RD,04/21/06,U,V,12500,04/21/06,U,V,12500,0,0,0,0,33000,0,33000,RF,,0,12500,04/21/06,0,24829,Vacant Land,,0,,33000,1300,RES ACLNDV  MDL-00
11,1,0,parcel,11-1,0,0,0,0,1,7,1,17,1011001000,1647,1147,11-1,1011001000,     11,      1,,638,ELM ST,638 ELM ST,12/20/17,U,V,270000,11/01/05,U,V,259000,4000,0,0,0,4300,0,4300,I1,,0,270000,12/20/17,0,29621,Vacant Land,,0,,4300,4410,IND LD PO
11,1,1,parcel,11-1-1,0,0,0,0,1-1,7,1,17,1011001001,1648,1148,11-1-1,1011001001,     11,      1,      1,3,PERREAULT ST,3 PERREAULT ST,04/27/00,Q,I,75000,12/15/89,U,I,1,0,0,0,0,55800,81300,137100,I1,4,995,75000,04/27/00,1943,10019,Ranch,1,26000,1,111100,1010,SINGLE FAM  MDL-01
11,1,2,parcel,11-1-2,0,0,0,0,1-2,7,1,17,1011001002,1649,1149,11-1-2,1011001002,     11,      1,      2,638,ELM ST,638 ELM ST,12/21/17,U,I,270000,11/01/05,U,I,259000,132500,0,0,0,139200,157500,296700,I1,,3800,270000,12/21/17,1978,27500,Store,,0,,296700,4022,IND BLDG  MDL-96
1,12,0,parcel,1-12,0,0,0,0,12,6,1,5,1001012000,220,22,1-12,1001012000,      1,     12,,25,RIVER RD,25 RIVER RD,08/27/10,U,I,0,09/23/99,Q,I,150000,0,0,0,0,55300,265100,320400,RF,9,2400,0,08/27/10,1780,152460,Antique,2.5,20000,4,300400,1091,MULTI HSES SFR
